Model Name,Metric,Value,Unit
KNet,MSE Test X,-21.871410369873047,-22.00294303894043
KNet,MSE Test Y,-18.39498519897461,-18.448463439941406
KNet,MSE Test Z,-18.689189910888672,-19.000635147094727
